City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,Outlook,51.5001,-107.0513,30.24,91,100,12.91,CA,1675886797
338,Naze,28.3667,129.4833,61.72,72,99,14.72,JP,1675886798
339,Grand-lahou,5.1367,-5.0242,79.11,86,7,6.17,CI,1675886798
340,Nishihara,26.1842,127.7558,65.48,77,40,12.66,JP,1675886799
341,San jose,37.3394,-121.895,66.92,53,75,5.99,US,1675886780
342,Hovd,48.0056,91.6419,1.53,83,87,1.9,MN,1675886800
343,Hokitika,-42.7167,170.9667,57.31,62,85,6.87,NZ,1675886801
344,Aswan,24.0934,32.907,58.46,29,100,10.54,EG,1675886802
345,Wanaka,-44.7,169.15,49.15,64,3,2.35,NZ,1675886802
346,Evensk,61.95,159.2333,-19.35,75,14,10.85,RU,1675886803
347,Bonfim,3.0833,-59.95,88.07,49,99,5.44,BR,1675886624
348,Ariquemes,-9.9133,-63.0408,83.35,79,75,1.34,BR,1675886578
349,Portland,45.5234,-122.6762,52.81,79,75,4.61,US,1675886804
350,Rio grande,-32.035,-52.0986,87.91,66,5,19.3,BR,1675886805
351,Dakar,14.6937,-17.4441,74.28,77,0,9.22,SN,1675886758
352,Ipora,-16.4419,-51.1178,82.69,69,78,4.7,BR,1675886604
353,Strezhevoy,60.7333,77.5889,-7.08,98,100,7.7,RU,1675886806
354,Pavilosta,56.8879,21.1859,35.51,84,61,19.3,LV,1675886807
355,Ararat,39.8317,44.7049,32.34,59,100,8.25,AM,1675886807
356,Leh,34.1667,77.5833,8.56,80,100,1.63,IN,1675886808
357,Chilca,-12.5211,-76.7372,76.3,75,11,8.43,PE,1675886808
358,El vigia,8.6219,-71.6506,83.46,70,93,2.98,VE,1675886809
359,Roma,43.2128,-75.4557,44.82,56,20,12.66,US,1675886523
360,Alberton,46.8168,-64.0654,32.23,90,56,10.65,CA,1675886810
361,Clyde river,70.4692,-68.5914,-33.83,98,82,3.15,CA,1675886811
362,Vardo,70.3705,31.1107,35.58,80,0,34.52,NO,1675886811
363,Tongren,27.7172,109.1853,47.12,94,100,3.69,CN,1675886812
364,Chachapoyas,-6.2317,-77.869,64.15,78,53,2.06,PE,1675886812
365,Rubtsovsk,51.5,81.25,-13.68,100,100,5.73,RU,1675886813
366,Alyangula,-13.8483,136.4192,82.62,77,100,9.31,AU,1675886813
367,Ust-nera,64.5667,143.2,-43.49,98,80,1.36,RU,1675886814
368,Japura,-0.3167,102.35,72.55,98,79,0.63,ID,1675886815
369,Warmbad,-28.45,18.7333,80.02,37,4,17.34,NA,1675886815
370,Surt,31.2089,16.5887,57.87,52,1,29.73,LY,1675886816
371,Kutum,14.2,24.6667,57.76,14,29,9.35,SD,1675886816
372,Ushtobe,45.2514,77.9838,23.22,85,100,3.42,KZ,1675886817
373,Maceio,-9.6658,-35.7353,81.84,74,75,11.5,BR,1675886818
374,Xiashi,30.5363,120.6864,50.0,90,100,12.73,CN,1675886818
375,Port augusta,-32.5,137.7667,75.22,23,0,3.42,AU,1675886819
376,Fare,-16.7,-151.0167,80.15,73,4,9.57,PF,1675886819
377,Passos,-20.7189,-46.6097,77.09,80,12,6.08,BR,1675886579
378,Sabha,27.0377,14.4283,63.27,21,38,13.71,LY,1675886629
379,Salalah,17.0151,54.0924,71.51,69,23,2.59,OM,1675886820
380,Batagay-alyta,67.8006,130.4114,-45.15,99,66,3.42,RU,1675886821
381,Okhotsk,59.3833,143.3,-20.13,84,61,11.5,RU,1675886767
382,Grindavik,63.8424,-22.4338,28.35,80,75,33.38,IS,1675886531
383,Senec,48.2195,17.4004,28.9,77,0,4.61,SK,1675886823
384,Khudaganj,28.15,79.7167,54.75,46,0,7.76,IN,1675886825
385,Sidney,-33.8679,151.2073,69.1,92,75,10.36,AU,1675886719
386,Ulkan,57.243,107.3223,15.13,95,100,5.14,RU,1675886827
387,Rocha,-34.4833,-54.3333,76.69,67,99,14.94,UY,1675886828
388,Faya,18.3851,42.4509,54.12,70,99,3.44,SA,1675886830
389,Palu,-0.8917,119.8707,74.89,91,100,2.21,ID,1675886831
390,Burnie,-41.0667,145.9167,57.94,93,100,11.86,AU,1675886832
391,Ordynskoye,54.3656,81.8994,-1.91,99,92,1.95,RU,1675886833
392,Changqing,36.5575,116.7272,37.54,62,100,0.83,CN,1675886834
393,Banda aceh,5.5577,95.3222,77.16,84,100,7.54,ID,1675886573
394,Tulle,45.3333,1.8333,32.99,83,0,2.66,FR,1675886839
395,Emerald,-23.5333,148.1667,68.34,78,40,10.38,AU,1675886840
396,Pacific grove,36.6177,-121.9166,66.42,58,0,5.01,US,1675886841
397,Puerto madryn,-42.7692,-65.0385,83.64,28,96,22.73,AR,1675886842
